run_name,scale,model_name,attention_type,loss_type,num_channels,parameter_count,last_epoch,eval_psnr,eval_ssim
attention_cbam_x3_srcnn_attention_cbam_mse_c1,3,srcnn_attention,cbam,mse,1,58245,2,26.80676555633545,0.8556896785699276
attention_se_x3_srcnn_attention_se_mse_c1,3,srcnn_attention,se,mse,1,58153,2,27.278705596923828,0.8668732686279474
baseline_repro_x2_srcnn_baseline_none_mse_c1,2,srcnn_baseline,none,mse,1,57281,2,31.43182373046875,0.942949547538123
baseline_repro_x3_srcnn_baseline_none_mse_c1,3,srcnn_baseline,none,mse,1,57281,2,27.647475242614746,0.8734776009003618
baseline_repro_x4_srcnn_baseline_none_mse_c1,4,srcnn_baseline,none,mse,1,57281,2,24.984742164611816,0.7846894692359232
benchmark_baseline5_x3_srcnn_baseline_none_mse_c1,3,srcnn_baseline,none,mse,1,57281,4,27.957966804504395,0.8798548814301604
benchmark_fast5_x3_srcnn_baseline_none_mse_c1,3,srcnn_baseline,none,mse,1,57281,4,25.64376926422119,0.8318715114518745
benchmark_oldstyle5_x3_srcnn_baseline_none_mse_c1,3,srcnn_baseline,none,mse,1,57281,4,27.983901023864746,0.8799063131919005
benchmark_perceptual5_x3_srcnn_baseline_none_mse+perceptual_c3,3,srcnn_baseline,none,mse+perceptual,3,69251,4,25.503246307373047,0.8357168138027191
ext_attention_full_x3_srcnn_attention_cbam_mse_c1,3,srcnn_attention,cbam,mse,1,58245,399,33.04824256896973,0.9280461500001482
ext_attention_full_x3_srcnn_attention_se_mse_c1,3,srcnn_attention,se,mse,1,58153,399,33.13789749145508,0.9294163179172028
gpu_smoke_x3_srcnn_baseline_none_mse_c1,3,srcnn_baseline,none,mse,1,57281,0,27.003256797790527,0.8594258908715819
joint_rgb_x3_srcnn_attention_se_mse+perceptual_c3,3,srcnn_attention,se,mse+perceptual,3,70123,2,24.005799293518066,0.8269468545913696
perceptual_rgb_x3_srcnn_baseline_none_mse+perceptual_c3,3,srcnn_baseline,none,mse+perceptual,3,69251,2,23.740558624267578,0.8282681703567505
perceptual_y_compat_x3_srcnn_baseline_none_mse+perceptual_c1,3,srcnn_baseline,none,mse+perceptual,1,57281,2,27.50222110748291,0.8736132552969136
repro_paper_full_x2_srcnn_baseline_none_mse_c1,2,srcnn_baseline,none,mse,1,57281,399,36.51291046142578,0.9587894163587857
repro_paper_full_x3_srcnn_baseline_none_mse_c1,3,srcnn_baseline,none,mse,1,57281,399,33.173240661621094,0.9302998026422596
repro_paper_full_x4_srcnn_baseline_none_mse_c1,4,srcnn_baseline,none,mse,1,57281,399,30.17485237121582,0.8679746318093093
repro_paper_x2_srcnn_baseline_none_mse_c1,2,srcnn_baseline,none,mse,1,57281,199,32.196913719177246,0.9506448971497666
repro_paper_x3_srcnn_baseline_none_mse_c1,3,srcnn_baseline,none,mse,1,57281,199,28.451746940612793,0.8893844201970159
repro_paper_x4_srcnn_baseline_none_mse_c1,4,srcnn_baseline,none,mse,1,57281,199,25.541451454162598,0.801824356323981
